Location,Area,Type,BHK,Sqft,Furnish,Transaction,Status,PriceperSqrt,Price,Price_Lac,Area_Sqft,Price/Sqft
Chennai,inKovalam,Villa,3 BHK,1100 sqft,Furnish,Old Property,Ready to Move,,₹ 90 Lac,90.0,1100.0,8181.82
Chennai,inThirumazhisai,Villa,3 BHK,650 sqft,Unfurnish,Old Property,Ready to Move,,₹ 48 Lac,48.0,650.0,7384.62
Chennai,inMangadu,Villa,3 BHK,1720 sqft,Unfurnish,Old Property,Ready to Move,₹ 4203 per sqft,₹ 95 Lac,95.0,1720.0,4203.0
Chennai,inKovalam,Villa,3 BHK,2327 sqft,Furnish,New Property,Ready to Move,,₹ 97.7 Lac,97.7,2327.0,4198.54
Chennai,inPadapai,Villa,2 BHK,1200 sqft,Unfurnish,Old Property,Ready to Move,₹ 2667 per sqft,₹ 32 Lac,32.0,1200.0,2667.0
Chennai,inMambakkam,Villa,2 BHK,700 sqft,Unfurnish,Old Property,Possession by Nov '22,,₹ 46.8 Lac,46.8,700.0,6685.71
Chennai,inG S T Road,Villa,3 BHK,1400 sqft,Unfurnish,Old Property,Ready to Move,₹ 4143 per sqft,₹ 58 Lac,58.0,1400.0,4143.0
Chennai,inNavalur,Villa,3 BHK,917 sqft,Unfurnish,Old Property,Ready to Move,,₹ 95 Lac,95.0,917.0,10359.87
Chennai,inKolapakkam,Villa,1 BHK,630 sqft,Unfurnish,Old Property,Ready to Move,,₹ 80 Lac,80.0,630.0,12698.41
Chennai,inVanagaram,Villa,3 BHK,1700 sqft,Furnish,New Property,Ready to Move,₹ 5876 per sqft,₹ 99.9 Lac,99.9,1700.0,5876.0
Chennai,inKondavakkam,Villa,3 BHK,2300 sqft,Unfurnish,Old Property,Ready to Move,₹ 2826 per sqft,₹ 65 Lac,65.0,2300.0,2826.0
Chennai,inNandivaram Guduvancheri,Villa,3 BHK,2050 sqft,Unfurnish,Old Property,Ready to Move,₹ 3268 per sqft,₹ 67 Lac,67.0,2050.0,3268.0
Chennai,inMaraimalai Nagar,Villa,3 BHK,1430 sqft,Furnish,Old Property,Ready to Move,₹ 4055 per sqft,₹ 58 Lac,58.0,1430.0,4055.0
Chennai,inThaiyur,Villa,3 BHK,1000 sqft,Unfurnish,Old Property,Ready to Move,,₹ 28.5 Lac,28.5,1000.0,2850.0
Chennai,inKelambakkam Old Mahabalipuram Road,Villa,3 BHK,1127 sqft,Unfurnish,New Property,Ready to Move,,₹ 86 Lac,86.0,1127.0,7630.88
Chennai,inTambaram West Tambaram Chennai Bypass Road,Villa,2 BHK,1250 sqft,Unfurnish,New Property,Ready to Move,,₹ 72 Lac,72.0,1250.0,5760.0
Chennai,inEast Coast Road,Villa,3 BHK,1800 sqft,Furnish,Old Property,Ready to Move,₹ 5277 per sqft,₹ 95 Lac,95.0,1800.0,5277.0
Chennai,inVeppampattu Chennai Tiruttani Highway,Villa,2 BHK,850 sqft,Furnish,New Property,Ready to Move,,₹ 29 Lac,29.0,850.0,3411.76
Chennai,inVijayalakshmi Nagar Porur,Villa,3 BHK,840 sqft,Furnish,New Property,Possession by Mar '22,,₹ 75 Lac,75.0,840.0,8928.57
Chennai,inTiruvallur,Villa,2 BHK,800 sqft,Unfurnish,Old Property,Ready to Move,,₹ 29 Lac,29.0,800.0,3625.0
Chennai,inThazhambur,Villa,3 BHK,1316 sqft,Unfurnish,New Property,Ready to Move,,₹ 82 Lac,82.0,1316.0,6231.0
Chennai,inKelambakkam Old Mahabalipuram Road,Villa,2 BHK,850 sqft,Unfurnish,Old Property,Possession by Aug '22,,₹ 52 Lac,52.0,850.0,6117.65
Chennai,inPerungalathur Chennai Bypass Road,Villa,2 BHK,800 sqft,Unfurnish,Old Property,Possession by Feb '22,,₹ 58.9 Lac,58.9,800.0,7362.5
Chennai,inParuthipet,Villa,2 BHK,650 sqft,Unfurnish,New Property,Possession by Feb '22,,₹ 37 Lac,37.0,650.0,5692.31
Chennai,inRedhills,Villa,2 BHK,600 sqft,Unfurnish,Old Property,Possession by Feb '22,,₹ 33 Lac,33.0,600.0,5500.0
Chennai,inSelaiyur,Villa,3 BHK,1600 sqft,Unfurnish,New Property,Ready to Move,₹ 5438 per sqft,₹ 87 Lac,87.0,1600.0,5438.0
Chennai,inMahabalipuram,Villa,3 BHK,750 sqft,Furnish,New Property,Ready to Move,₹ 7333 per sqft,₹ 55 Lac,55.0,750.0,7333.0
Chennai,inNandivaram Guduvancheri,Villa,3 BHK,1400 sqft,Unfurnish,New Property,Ready to Move,,₹ 65 Lac,65.0,1400.0,4642.86
Chennai,inPudupakkam,Villa,3 BHK,1973 sqft,Unfurnish,New Property,Possession by Dec '21,,₹ 91.3 Lac,91.3,1973.0,4627.47
Chennai,inPadapai,Villa,2 BHK,1090 sqft,Unfurnish,New Property,Possession by Dec '21,₹ 3700 per sqft,₹ 40.3 Lac,40.3,1090.0,3700.0
Chennai,inGuduvancheri,Villa,2 BHK,870 sqft,Unfurnish,New Property,Ready to Move,₹ 4699 per sqft,₹ 40.9 Lac,40.9,870.0,4699.0
Chennai,inPoonamalle,Villa,1 BHK,560 sqft,Unfurnish,New Property,Possession by Jun '22,₹ 5357 per sqft,₹ 30 Lac,30.0,560.0,5357.0
