Location,Area,Type,BHK,Furnish,Transaction,Status,Price_Lac,Area_Sqft,Price/Sqft
Chennai,Sholinganallur,Flat,2.0,Unfurnish,New Property,Dec 2021,87.0,1237.0,7033.0
Chennai,Adambakkam,Flat,1.0,Furnish,New Property,Dec 2021,43.0,455.0,9450.55
Chennai,Perumbakkam,Flat,2.0,Unfurnish,Old Property,Dec 2021,62.0,1489.0,4164.0
Chennai,Mahindra World City,Flat,2.0,Furnish,Old Property,Dec 2021,33.0,612.0,5392.16
Chennai,Mahabalipuram,Flat,2.0,Furnish,Old Property,Dec 2021,125.0,1140.0,10964.0
Chennai,Kelambakkam Old Mahabalipuram Road,Flat,2.0,Unfurnish,New Property,Mar 2022,39.8,994.0,3999.0
Chennai,Kovilambakkam,Flat,2.0,Unfurnish,New Property,Jan 2022,61.4,691.0,8885.67
Chennai,Poonamalle,Flat,4.0,Unfurnish,New Property,Dec 2021,75.8,1710.0,4433.0
Chennai,Padur Old Mahabalipuram Road,Flat,3.0,Unfurnish,New Property,Dec 2021,88.0,1196.0,7357.86
Chennai,Perumbakkam,Flat,2.0,Furnish,Old Property,Dec 2021,63.0,900.0,7000.0
Chennai,Karapakkam,Flat,2.0,Furnish,New Property,Dec 2021,75.0,1040.0,6250.0
Chennai,Guduvancheri,Flat,2.0,Unfurnish,New Property,Jun 2022,45.0,777.0,5791.51
Chennai,Thalambur,Flat,2.0,Unfurnish,New Property,Mar 2024,42.0,780.0,5384.62
Chennai,Madipakkam,Flat,3.0,Unfurnish,New Property,Dec 2021,66.7,1150.0,5800.0
Chennai,Guduvancheri,Flat,3.0,Unfurnish,New Property,Dec 2021,57.0,860.0,6627.91
Chennai,Nanmangalam,Flat,3.0,Unfurnish,New Property,Dec 2021,49.2,1020.0,4823.53
Chennai,Madipakkam,Flat,3.0,Unfurnish,Old Property,Dec 2021,85.0,1155.0,7359.31
Chennai,Kolathur,Flat,3.0,Unfurnish,New Property,Oct 2022,98.8,1456.0,6788.0
